#,ID,Source,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
786,785,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,كنت تسير في الشبورة المائية فماذا تفعل؟,,A,اقوم بتهدأة السرعة مع استخدام صفارة الانتظار,زيادة السرعة لملاحقة السيارة التي امامي حتى تكون دليلي في الطريق,اقوم بفتح النوافذ واستخدام المساحات والسير بالسرعة العادية,,,0
787,786,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,الكشف على الزيت عن طريق المقياس المعد لقياس الزيت لا بد ان لا يزيد عن العلامة العليا وان لا يقل عن العلامة السفلى.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
788,787,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند ارتفاع حرارة المحرك يكون احد الاسباب توقف مروحة تبريد المحرك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
789,788,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,على قائد المركبة ان يلتزم دائما بحارة السير المخصصة له,,A,العبارة صحيحة,العبارة خاطئة,,,,0
790,789,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يمكن الرجوع بسيارتك للخلف لمسافة خمسون مترا.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
791,790,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,وانت تقود فوق كبري انفجرت احد الاطارات، ماذا تفعل؟,,B,اقوم بوضع علامة ارشادية واقوم بتغيير العجلة فوق الكبري,انزل من فوق الكبري واغيرها في مكان اخر,اقف مكاني واحاول تغيير الاطارات بسرعة,,,0
792,791,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,لا تستخدم مساحات الزجاج الا اذا كان الزجاج مبلل للحفاظ على المساحات بالسيارة,,A,العبارة صحيحة,العبارة خاطئة,,,,0
793,792,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجب على قائد السيارة عدم التحدث الى الركاب,,A,العبارة صحيحة,العبارة خاطئة,,,,0
794,793,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,النور المبهر يؤدي الى صعوبة القيادة لقائدي السيارات المقابلة لك فقط,,B,العبارة صحيحة,العبارة خاطئة,,,,0
795,794,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجوز لسائق السيارة استخدام الانوار المبهرة ليلًا,,A,العبارة صحيحة,العبارة خاطئة,,,,0
796,795,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجب الوقوف قبل عبور المزلقان للتاكد من عدم اقتراب اية مركبة تسير على السكك الحديدية,,A,العبارة صحيحة,العبارة خاطئة,,,,0
797,796,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يكون لك الاولوية في تخطي السيارة التي امامك بالرغم من وجود سيارة خلفك شرعت في تخطي سيارتك نظرًا لأنك تسبقه في السير.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
798,797,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند القيادة بالمطر يجب الالتزام بالسرعة القانونية.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
799,798,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,في حالة القيادة في الشبوره المائية يجب مضاعفة مسافة الأمان بين سيارتك والسيارة التي أمامك,,A,العبارة صحيحة,العبارة خاطئة,,,,0
800,799,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجب ان يكون توقف المركبة على بعد لا يقل عن خمسة أمتار من مداخل الميادين ومفارق الطرق ومحطات النقل العام...,,A,العبارة صحيحة,العبارة خاطئة,,,,0
801,800,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,لا يجوز ترك المركبة وبها مفتاح إدارتها.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
802,801,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,لا يجوز أن يكون المنبه الصوتي متعدد النغمات.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
803,802,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,أولوية المرور في تقاطعات الطرق للمركبات التي دخلت فعلاً في تقاطع الطرق دون غيرها من المركبات التي لم تدخل التقاطع.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
804,803,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يمكن التوقف أو الانتظار على نهر الطريق بجوار مركبة أخرى متوقفة أو منتظرة.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
805,804,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,على قائد المركبة عند إجراء التخطي مراقبة الطريق الخلفي في المرآة المعاكسة للتأكد من عدم وجود أي سيارة أخرى خلفه أعطى قائدها تحذير يفيد رغبته بالتخطي.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
806,805,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجوز إجراء عملية التخطي في المنحنيات والمنعطفات والمرتفعات والمنحدرات.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
807,806,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,في حالة القيادة في الشبورة المائية ضرورة الالتزام بالجانب الأيسر من نهر الطريق.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
808,807,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,استخدام الفرامل أثناء المطر يؤدي إلى إيقاف السيارة في مسافة أكبر مما لو كان الطريق جاف.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
809,808,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,للقيادة في المطر يجب مضاعفة مسافة الأمان الأمامية والجانبية.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
810,809,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يستخدم ضوء الضباب عند وجود شبورة ليلًا أو نهارًا في حال تدني مستوى الرؤية فقط.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
811,810,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,دورة الزيت من العوامل الهامة لتبريد المحرك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
812,811,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,لا يجوز ترك محرك المركبة يعمل بدون مبرر.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
813,812,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجب أن يكون توقف المركبة على بعد لا يقل عن خمسة أمتار من مداخل الميادين ومفارق الطرق ومحطات النقل العام.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
814,813,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يمكن استعمال زيت المحرك بدلا من زيت الفرامل والعكس.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
815,814,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,حدوث ضعف في قدرة المحرك يكون أحد أسبابه السداد بماسورة العادم (الشكمان).,,A,العبارة صحيحة,العبارة خاطئة,,,,0
816,815,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,على قائد المركبة الذي وقع منه حادث نشأ عنه إصابة شخص أن يهتم بأمر المصابين وأن يخطر أقرب رجل مرور أو شرطة أو إسعاف.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
817,816,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يكون أولوية المرور في تقاطعات الطرق للمركبات ودراجات الركوب دون مركبات النقل البطىء.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
818,817,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,عند انفجار إطار سيارة أثناء السير يجب عدم الضغط على الفرامل فجأة والتشبث بمقود القيادة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
819,818,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,في حالة عطل الفرامل يمكن البحث عن شيء تصطدم به جانبيًّا مثل (بلدورة الطريق - حائط جانبي). التلفيات في جسم السيارة يمكن إصلاحها.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
820,819,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يكون الحد الأقصى لسرعة المركبات الملاكي والنصف نقل داخل المدينة 60 كلم/ساعة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
821,820,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجوز أن تتخطى سيارة سيارة أخرى في الأحوال الجوية التي يتعذر فيها الرؤية الآمنة,,B,العبارة صحيحة,العبارة خاطئة,,,,0
822,821,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,عند ارتفاع درجة حرارة مياه المحرك فجأة يكون أحد الاحتمالات نقص مستوى مياه التبريد.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
823,822,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يسمح باستعمال أنواع أجهزة التنبيه الصوتية والضوئية التي يقتصر استخدامها على مركبات الطوارئ على جميع أنواع المركبات.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
824,823,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجب عدم تخطي السيارة التي أمامك إذا كانت حالة الطريق لا تسمح بالتخطي.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
825,824,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجب في حالة مقابلتك لمركبة اخرى قادمة في الطريق المقابل وكانت حالة الطريق غير آمنة أن تقوم بتهدئة السرعة أو أن تتوقف اذا لزم الأمر لإفساح الطريق المقابل.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
826,825,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يكون أولوية المرور في تقاطعات الطرق للمركبات المسيرة على الخطوط الحديدية دون غيرها من أنواع المركبات.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
827,826,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,وجود ثقب في توصيلات العادم (الشاكمان) ينتج عنه صوت عالي للسيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
828,827,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجب في حال قيامك بالرجوع بالمركبة للخلف ألا يتجاوز الرجوع إلى خلف مسافة تعادل طول المركبة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
829,828,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,للقيادة في الضباب يجب استخدام النور العالي.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
830,829,https://www.arabquest.net/wp_quiz/egypt-general-questions-2/,Egypt,Other,Driving Test,,يجب على قائد السيارة عند إيقاف سيارته أثناء السير أن يترك مسافة بينه وبين السيارة التي أمامه.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
831,830,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجوز أن تتخطى سيارة سيارة أخرى في الأحوال الجوية التي يتعذر فيها الرؤية الآمنة.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
832,831,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,الاستمرار في تشغيل بادي الحركة (المارش) بعد دوران المحرك يفيد المحرك.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
833,832,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يمكنك القيادة ليلًا باستخدام أنوار الانتظار فقط.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
834,833,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,في حالة القيادة في الشبورة يجب استخدام النور المنخفض في حال عدم وجود أنوار شبورة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
835,834,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجب قراءة كتيّب السيارة لمعرفة نوع الاطارات للسيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
836,835,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,عند إضاءة مبين علامة البطارية أثناء السير بالسيارة فإن هذا يعني أن جهاز الشحن يعمل على الوجه الأمثل.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
837,836,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,في التصادمات العمومية فإن حزام الأمان يقي قائد السيارة ومن بجواره من القذف خارج السيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
838,837,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,وأنت تسير فوق منحنى خطر حدث عطل بالسيارة فماذا تفعل؟,,A,تعطي إشارة الإنتظار مع وضع إشارة تحذيرية قبل بداية المنحنى وتقف لمحاولة تصليح العطل,تقوم بشد فرامل اليد,أترك السيارة وأركب أي سيارة أخرى,,,0
839,838,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,أثناء قيادتك للسيارة اصطدمت بأحد المارة، فماذا تفعل؟,,C,أحاول اللحاق بميعادي طالما الإصابة سطحية,أتصل بالإسعاف والانصراف من مكان الحادث سريعًا,أحاول أخذه إلى أقرب مستشفى,,,0
840,839,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجب استخدام فرملة الموتور (الغيار العكس) في حال عطل الفرامل فجأة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
841,840,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجب أن يكون توقف المركبة ناحية اليمين وفي اتجاه حركة المرور.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
842,841,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,أقصى مدة يمكن أن تقود بها سيارتك 8 ساعات متصلة.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
843,842,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجوز تركيب أية قياسات من الإطارات حسبما يليق مع شكل السيارة حتى ولو لم يكن القياس الأصلي.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
844,843,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,عند رفع السيارة بالكوريك يلزم وضع حجر خلف عجلة من الجانب المقابل للرفع.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
845,844,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,أثناء قيادتك ومعك مريض تحاول إنقاذه، لاحظت أن الإشارة صفراء. ماذا تفعل؟,,B,تنتظر حتى تصبح الإشارة خضراء,التوقف وإبلاغ شرطي المرور بوجود مريض,تتابع السير,,,0
846,845,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يمكن إدراج السيارات بالدفع اذا كان صندوق النقلات عادي وبها دبرياج.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
847,846,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,أولوية المرور في تقاطعات الطرق التي دخلت فعلًا في تقاطع الطرق دون غيرها من المركبات التي لم تدخل التقاطع.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
848,847,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,فوجئت بسيارة تخرج من شارع جانبي وتحاول قطع الطريق أمامك. فماذا تفعل؟,,B,تركن السيارة لإبلاغ أقرب نقطة مرور,تسمح له بالمرور,توضح لصاحب السيارة أن هذا طريقك,,,0
849,848,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يمكن القيادة بأمان رغم تعاطي عقاقير طبية مخدرة إذا كان الطبيب أوصى بها.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
850,849,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,عند تغيير زيت المحرك يجب أن يكون المحرك بارد.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
851,850,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجب أن يكون مستوى مياه التبريد في خزان التمدد (القربه) والسيارة باردة...,,C,ممتلئ على آخره,فارغ تماما,فوق العلامة السفلى,,,0
852,851,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,مركبات الطوارئ المعتمدة هي: الإطفاء - الإسعاف - الدفاع المدني - الشرطة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
853,852,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,نقل سرعة الرجوع للخلف أثناء سير السيارة للأمام يسبب تلف صندوق التروس اليدوي.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
854,853,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يحظر استعمال آلات التنبيه بالمناطق المأهولة بالسكان من منتصف الليل حتى السادسة صباحًا.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
855,854,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,ليس من الضروري إعطاء النور المنخفض للسيارات التي تسير خلفها طالما أنها تسير في نفس اتجاهك.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
856,855,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,يجب على قائد السيارة شد فرامل اليد عند الوقوف.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
857,856,https://www.arabquest.net/wp_quiz/egypt-general-test-3/,Egypt,Other,Driving Test,,حدوث ضعف في قدرة المحرك يكون أحد أسبابه انسداد بماسورة العادم (الشكمان),,A,العبارة صحيحة,العبارة خاطئة,,,,0
858,857,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,السرعة القانونية على الطريق الصحراوية للسيارات الملاكي هي 100 كلم / الساعة,,A,العبارة صحيحة,العبارة خاطئة,,,,0
859,858,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يجب تعشيق عصاية نقل السرعة عند نزول المنحدرات.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
860,859,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,عندما يضيء مبين الزيت على السرعة البطيئة وينطفئ على السرعة العالية وكان مصاحب له إرتفاع بحرارة المحرك يعني تلف الزيت أو حاجة المحرك إلى عمره.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
861,860,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يجوز لقائد السيارة السير برخصة تسيير منتهية في الطرق العامة.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
862,861,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,إن الإطار الغير مطابق للمواصفات يُعتبر قنبلة موقوتة في سيارتك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
863,862,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يجب تعشيق عصا نقل السرعة عند نزول المنحدرات.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
864,863,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,لا يجوز التخطي على خطوط السكك الحديدية والتقطعات والكباري والأنفاق.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
865,864,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يجب الضغط على دواسة الفرامل عدة مرات (تكريج) لاستعادة تأثيرها عند عطل الفرامل.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
866,865,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,مسموح لقائد السيارة إستعمال آلة التنبيه دائمًا دون الالتزام بالتعليمات المقررة في شأن استعمالها.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
867,866,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,النور المبهر ليلًا يؤدي إلى صعوبة القيادة بالنسبة لقائدي السيارات لك فقط.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
868,867,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,لا يجوز الوقوف بالمركبة ليلًا بدون القيام بإضاءة الأنوار الصغيرة الأمامية والأنوار الحمراء الخلفية.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
869,868,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,إن أحد أسباب حدوث سخونة شديدة بالعجلات وظهور الدخان منها هو نسيان فرامل اليد أثناء السير بالسيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
870,869,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,إعطاء النور المنخفض للسيارة التي تسير أمامك ليس ضروريًّا طالما أنها تسير في نفس اتجاهك.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
871,870,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,أثناء نزول المنحدرات يُمنع وضع عصا نقل السرعة في الوضع الحر أو الضغط على الدبرياج.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
872,871,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يسمح النور المنخفض لقائد السيارة الرؤية لمسافة 30 متر.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
873,872,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,يلزم ترك مسافة جانبية كافية عن السيارة التي تتخطاها أثناء التخطي.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
874,873,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,عند قيادتك في الضباب يجب التزام الجانب الأيمن واستعمال آلة التنبيه بصورة متقطعة والالتزام بإضاءة المصابيح الأمامية بحيث لا تزيد السرعة عن 15 كلم / الساعة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
875,874,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,الوقت الأنسب لتموين السيارة حينما يكون المؤشر الخاص بالوقود عند:,,C,العلامة في الربع الأول,العلامة فارغة,من النصف إلى الثلث,,,0
876,875,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,ينصح بتبديل أماكن الإطارات في السيارة بصورة دورية كل 10000,,A,العبارة صحيحة,العبارة خاطئة,,,,0
877,876,https://www.arabquest.net/wp_quiz/egypt-general-test-4/,Egypt,Other,Driving Test,,وأنت تقود سيارتك فوجئت بسيدة تداعب طفلتها وباب سيارتها مفتوح. ماذا تفعل؟,,A,تحاول تفادي الاصطدام بباب السيارة,تقوم بإبلاغ أقرب شرطي مرور,تحدثها وتطلب منها إغلاق باب السيارة,,,0
