filename,total_questions,correct_predictions,percentage_correct
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Driving Test,29,20,68.97%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Accounting,24,3,12.50%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Biology,26,3,11.54%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Geography,31,5,16.13%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,History,32,7,21.88%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Economics,26,6,23.08%
result_prompt_en_alpa_ar_cot_aragpt2-base.csv,Philosophy,26,7,26.92%
result_prompt_en_alpa_ar_mt0-large.csv,overall,194,63,32.47%
result_prompt_en_alpa_ar_mt0-large.csv,Driving Test,29,20,68.97%
result_prompt_en_alpa_ar_mt0-large.csv,Accounting,24,4,16.67%
result_prompt_en_alpa_ar_mt0-large.csv,Biology,26,4,15.38%
result_prompt_en_alpa_ar_mt0-large.csv,Geography,31,6,19.35%
result_prompt_en_alpa_ar_mt0-large.csv,History,32,14,43.75%
result_prompt_en_alpa_ar_mt0-large.csv,Economics,26,7,26.92%
result_prompt_en_alpa_ar_mt0-large.csv,Philosophy,26,8,30.77%
result_prompt_en_alpa_ar_cot_mt0-large.csv,overall,194,66,34.02%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Driving Test,29,20,68.97%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Accounting,24,3,12.50%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Biology,26,8,30.77%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Geography,31,6,19.35%
result_prompt_en_alpa_ar_cot_mt0-large.csv,History,32,14,43.75%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Economics,26,7,26.92%
result_prompt_en_alpa_ar_cot_mt0-large.csv,Philosophy,26,8,30.77%
result_prompt_en_alpa_ar_xglm-1.7B.csv,overall,194,52,26.80%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Driving Test,29,20,68.97%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Accounting,24,3,12.50%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Biology,26,3,11.54%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Geography,31,5,16.13%
result_prompt_en_alpa_ar_xglm-1.7B.csv,History,32,8,25.00%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Economics,26,6,23.08%
result_prompt_en_alpa_ar_xglm-1.7B.csv,Philosophy,26,7,26.92%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,overall,194,54,27.84%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Driving Test,29,16,55.17%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Accounting,24,6,25.00%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Biology,26,7,26.92%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Geography,31,8,25.81%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,History,32,10,31.25%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Economics,26,3,11.54%
result_prompt_en_alpa_ar_cot_xglm-1.7B.csv,Philosophy,26,4,15.38%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,overall,194,66,34.02%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Driving Test,29,16,55.17%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Accounting,24,7,29.17%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Biology,26,7,26.92%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Geography,31,11,35.48%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,History,32,11,34.38%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Economics,26,7,26.92%
result_prompt_en_alpa_ar_AraT5v2-base-1024.csv,Philosophy,26,7,26.92%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,overall,194,50,25.77%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Driving Test,29,14,48.28%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Accounting,24,7,29.17%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Biology,26,5,19.23%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Geography,31,8,25.81%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,History,32,8,25.00%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Economics,26,4,15.38%
result_prompt_en_alpa_ar_cot_AraT5v2-base-1024.csv,Philosophy,26,4,15.38%
